Order Number,Full Name,Address,Phone Number,Email,Gender,Payment Method,Delivery Method,Products,Order Total,Order Total With Tax,Transaction ID,Order Date,Payment Status,Payment Date,Tracking Number,Estimated Delivery Date,Carrier Company,Order Status
,Aki Rissanen,"Mäntykatu, Seinäjoki, 40100",+358 401234567,AkiRissanen@yandex.com,Nainen,Skrill,Ovelle,"[object Object],[object Object],[object Object],[object Object],[object Object]",7514.4,,616822,2023-01-26T22:30:48.216Z,,,,,,Shipped
,Tuukka Koskela,"Tammikuja, Lappeenranta, 67100",+358 407654321,TuukkaKoskela@zoho.com,Nainen,Gift card,Posti automaatti,"[object Object],[object Object],[object Object]",1686.4,,474209,2023-02-01T07:09:59.354Z,,,,,,Delivered
,Tuomas Koskela,"Järvenranta, Jyväskylä, 53100",+358 402345678,TuomasKoskela@yahoo.com,Mies,Credit/Debit card,Posti automaatti,"[object Object],[object Object],[object Object],[object Object]",1233.8000000000002,,819710,2023-10-25T02:19:59.451Z,,,,,,Delivered
,Sofia Karppinen,"Järvenranta, Jyväskylä, 05800",+358 407654321,SofiaKarppinen@zoho.com,Nainen,Skrill,Ovelle,"[object Object],[object Object],[object Object]",719.2,,117355,2023-05-09T13:24:06.588Z,,,,,,Shipped
,Susanna Rissanen,"Oranssikuja, Kouvola, 65100",+358 405678901,SusannaRissanen@icloud.com,Mies,Gift card,Postin toimipiste,"[object Object],[object Object]",1178,,471185,2023-04-02T06:41:41.314Z,,,,,,Cancelled
,Aino Kukkonen,"Kastanjatie, Seinäjoki, 87100",+358 403843243,AinoKukkonen@yandex.com,Nainen,Gift card,Postin toimipiste,"[object Object],[object Object],[object Object],[object Object]",3360.4,,88229,2023-07-14T23:19:23.192Z,,,,,,Cancelled
,Henna Korpi,"Oranssikuja, Mikkeli, 50100",+358 407654321,HennaKorpi@yahoo.com,Nainen,Moon pay,Ovelle,[object Object],43.4,,977662,2023-06-14T17:54:12.569Z,,,,,,Returned
,Tuukka Lehtonen,"Satamakatu, Salo, 60100",+358 403843243,TuukkaLehtonen@outlook.com,Mies,Ethereum,Postin toimipiste,[object Object],272.8,,68054,2023-05-01T19:10:42.120Z,,,,,,Delivered
,Elisa Järvinen,"Kimaltajärvi, Mikkeli, 57100",+358 405678901,ElisaJärvinen@outlook.com,Mies,Moon pay,Posti automaatti,"[object Object],[object Object],[object Object],[object Object]",4867,,616708,2023-07-01T09:54:58.579Z,,,,,,Returned
,Juhani Nieminen,"Kastanjatie, Lappeenranta, 96100",+358 401234567,JuhaniNieminen@zoho.com,Mies,Ethereum,Postin toimipiste,"[object Object],[object Object],[object Object],[object Object],[object Object]",4172.6,,539247,2023-03-17T02:19:27.290Z,,,,,,Processing
,Anni Saari,"Hiekkakuja, Kouvola, 24100",+358 402345678,AnniSaari@zoho.com,Mies,Trust,Ovelle,"[object Object],[object Object],[object Object],[object Object],[object Object]",3174.4,,854497,2023-08-11T19:54:15.739Z,,,,,,Cancelled
,Eero Tolonen,"Vihersiili, Rovaniemi, 60100",+358 405678901,EeroTolonen@outlook.com,Nainen,Moon pay,Posti automaatti,[object Object],260.4,,100310,2023-08-16T02:23:55.565Z,,,,,,Returned
,Eero Kukkonen,"Revontulentie, Salo, 45100",+358 408765432,EeroKukkonen@icloud.com,Nainen,Credit/Debit card,Posti automaatti,[object Object],310,,58763,2023-05-27T21:13:23.314Z,,,,,,Shipped
,Maria Hiltunen,"Tähtikuja, Lahti, 57100",+358 401234567,MariaHiltunen@yandex.com,Mies,Coinbase pay,Postin toimipiste,[object Object],558,,251839,2023-07-16T03:45:54.612Z,,,,,,Processing
,Aki Tuominen,"Hangaspolku, Kotka, 80100",+358 404372343,AkiTuominen@yandex.com,Nainen,Bitcoin,Posti automaatti,"[object Object],[object Object],[object Object],[object Object],[object Object]",7142.4,,20772,2023-03-03T10:58:30.876Z,,,,,,Returned
,Marika Karppinen,"Lehtikatu, Jyväskylä, 79100",+358 405678901,MarikaKarppinen@gmail.com,Nainen,Coinbase pay,Posti automaatti,[object Object],372,,337543,2023-09-09T05:16:37.766Z,,,,,,Cancelled
,Sari Tuominen,"Herukkatie, Hyvinkää, 50100",+358 402345678,SariTuominen@protonmail.com,Nainen,Gift card,Ovelle,"[object Object],[object Object],[object Object],[object Object],[object Object]",3868.7999999999997,,8549,2023-07-15T17:32:42.189Z,,,,,,Processing
,Sofia Laukkanen,"Kuutamotie, Rovaniemi, 40100",+358 404372343,SofiaLaukkanen@yahoo.com,Nainen,Trust,Postin toimipiste,"[object Object],[object Object],[object Object],[object Object]",6993.599999999999,,723304,2023-03-06T10:21:02.372Z,,,,,,Delivered
,Satu Nieminen,"Herukkatie, Hämeenlinna, 65100",+358 403843243,SatuNieminen@yahoo.com,Mies,Skrill,Posti automaatti,"[object Object],[object Object]",1537.6,,19585,2023-05-08T12:08:56.222Z,,,,,,Delivered
,Risto Kallio,"Pihlajatie, Hämeenlinna, 96100",+358 408765432,RistoKallio@protonmail.com,Mies,Moon pay,Ovelle,"[object Object],[object Object],[object Object],[object Object]",2703.2,,471041,2023-01-13T05:04:18.922Z,,,,,,Processing
,Matti Koskela,"Koivutie, Kajaani, 78200",+358 403843243,MattiKoskela@gmail.com,Mies,Trust,Postin toimipiste,[object Object],1860,,995469,2023-08-08T06:16:36.552Z,,,,,,Cancelled
,Marika Rantanen,"Kastanjatie, Mikkeli, 48100",+358 401234567,MarikaRantanen@yandex.com,Nainen,Moon pay,Posti automaatti,"[object Object],[object Object]",551.8,,313788,2023-02-18T14:23:17.287Z,,,,,,Returned
,Juha Hiltunen,"Hiekkakuja, Pietarsaari, 78200",+358 401234567,JuhaHiltunen@protonmail.com,Nainen,Gift card,Posti automaatti,"[object Object],[object Object],[object Object]",1705,,473741,2023-09-09T15:40:36.543Z,,,,,,Cancelled
